unit,unit_name,lesson,scene_idx,scene_id,scene_title,opener_jp,opener_zh,speaker,abc_guide,a_jp,a_zh,a_note,b_jp,b_zh,b_note,c_jp,c_zh,c_note
1,第1单元,1,1,l1_dlg_1,出迎え,JC企画の 小野さんですか。,,小野,「出迎え」（迎接）· 自己紹介 · 出迎え · 小野应答。A＝课文「はい、小野です。李秀麗さんですか…」；B＝同场景口语/缩短；C＝更礼貌或郑重。 本句由小野回答接机确认。,はい、小野です。李秀麗さんですか。,是的，我是小野。您是李秀丽吗？,A 标准答（小野）：「出迎え」· 先肯定身份，再反问确认对方姓名。接机、职场第一次见面用 A。,はい、そうです。小野です。,是的，我是小野。,B 更短：用「そうです」承接，省略反问。对方已报名字、节奏快时用。,はい、小野と申します。李秀麗様でしょうか。,是的，我叫小野。您是李秀丽女士吗？,C 更礼貌：「と申します」「様」偏正式；对客户、上级或商务场合可选 C。
1,第1单元,1,2,l1_dlg_2,出迎え,はい、小野です。李秀麗さんですか。,,李,「出迎え」（迎接）· 自己紹介 · 出迎え · 李应答。A＝课文「はい、李秀麗です。はじめまして。…」；B＝同场景口语/缩短；C＝更礼貌或郑重。 本句由李回答。,はい、李秀麗です。はじめまして。どうぞ よろしく お願いします。,是的，我是李秀丽。初次见面，请多关照。,A 标准答（李）：「出迎え」· 身份+はじめまして+どうぞよろしく。标准接机自我介绍用 A。,はい、李です。はじめまして。,是的，我是李。初次见面。,B 较短：省略「よろしく」；对方会再接「はじめまして」时用，避免重复寒暄。,はい、李秀麗と申します。本日は どうぞ よろしく お願いいたします。,是的，我叫李秀丽。今天请多关照。,C 更郑重：「と申します」「お願いいたします」；对上司、客户或正式场合用 C。
1,第1单元,1,3,l1_dlg_3,出迎え,はい、李秀麗です。はじめまして。どうぞ よろしく お願いします。,,小野,「出迎え」（迎接）· 自己紹介 · 出迎え · 小野应答。A＝课文「はじめまして、小野緑です。」；B＝同场景口语/缩短；C＝更礼貌或郑重。 小野回礼自我介绍，注意「はじめまして」词首「は」读 ha。,はじめまして、小野緑です。,初次见面，我是小野绿。,A 标准答（小野）：「出迎え」· 寒暄+全名。同事、同级第一次见用 A。,はじめまして、小野です。,初次见面，我是小野。,B 省略名字「緑」：已互知姓氏、场合轻松时用。,初めまして。小野緑と申します。どうぞ よろしく お願いします。,初次见面。我叫小野绿。请多关照。,C 补全「よろしく」：想主动结束寒暄轮、语气更完整时用。
1,第1单元,1,4,l1_dlg_4,出迎え,はじめまして、小野緑です。,,森,「出迎え」（迎接）· 自己紹介 · 出迎え · 森应答。A＝课文「李さん、こんにちは。」；B＝同场景口语/缩短；C＝更礼貌或郑重。 森向李打招呼。,李さん、こんにちは。,李小姐，你好。,A 标准答（森）：「出迎え」· 白天见面简单问候。同事接机、已见过对方时用 A。,李さん、こんにちは。お迎えに 来ました。,李小姐，你好。我来迎接您了。,B 补充目的：说明来接机，语气更亲切；想主动打破沉默时用。,李さん、お疲れ様です。こんにちは。,李小姐，辛苦了。你好。,C 加「お疲れ様」：对方旅途后、职场晚辈对刚到达的对方用，更体贴。
1,第1单元,1,5,l1_dlg_5,出迎え,李さん、こんにちは。,,李,「出迎え」（迎接）· 自己紹介 · 出迎え · 李应答。A＝课文「吉田さんですか。」；B＝同场景口语/缩短；C＝更礼貌或郑重。 李误认森为吉田。,吉田さんですか。,您是吉田先生吗？,A 标准答（李）：「出迎え」· 直接确认身份。认错人、需要核实时用 A。,あの方は 吉田さんですか。,那位是吉田先生吗？,B 用「あの方」：稍远指认、不确定时用，比直接问柔和。,失礼ですが、吉田さんでしょうか。,不好意思，您是吉田先生吗？,C 更礼貌：「失礼ですが」「でしょうか」；对上级或初次见面误认时用。
1,第1单元,1,6,l1_dlg_6,出迎え,吉田さんですか。,,森,「出迎え」（迎接）· 自己紹介 · 出迎え · 森应答。A＝课文「いいえ、私は 吉田では ありませ…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,いいえ、私は 吉田では ありません。森です。,不，我不是吉田。我是森。,A 标准答（森）：「出迎え」· 先否定再报本名。与第1课课文一致，用 A。,いいえ、違います。森です。,不，不对。我是森。,B 用「違います」：口语否定，简洁；同事、轻松场合可用。,いいえ、吉田では ありません。森と 申します。,不，不是吉田。我叫森。,C 更正式：「と申します」；对客户或需要礼貌更正时用。
1,第1单元,1,7,l1_dlg_7,出迎え,いいえ、私は 吉田では ありません。森です。,,李,「出迎え」（迎接）· 自己紹介 · 出迎え · 李应答。A＝课文「あっ、森さんですか。すみません。」；B＝同场景口语/缩短；C＝更礼貌或郑重。 李道歉并确认森的身份。,あっ、森さんですか。すみません。,啊，是森先生吗？不好意思。,A 标准答（李）：「出迎え」· 「あっ」惊讶+确认+すみません。认错人后标准用 A。,あ、森さんですね。失礼しました。,啊，是森先生啊。失礼了。,B 用「失礼しました」：稍正式道歉；职场对同事可用。,森さんですか。どうも すみません。,是森先生吗？非常抱歉。,C 加强歉意：「どうもすみません」；对上级或更郑重场合用。
1,第1单元,1,8,l1_dlg_8,出迎え,あっ、森さんですか。すみません。,,森,「出迎え」（迎接）· 自己紹介 · 出迎え · 森应答。A＝课文「いいえ。李秀麗さんですね。はじめ…」；B＝同场景口语/缩短；C＝更礼貌或郑重。 森接话并重新寒暄。,いいえ。李秀麗さんですね。はじめまして。,不。是李秀丽小姐啊。初次见面。,A 标准答（森）：「出迎え」· 「いいえ」在此非道歉，表示「没关系」+确认+寒暄。用 A。,いいえ、大丈夫です。はじめまして、森です。,不，没关系。初次见面，我是森。,B 明确「大丈夫」并自报名：对方更易听懂，练习自我介绍时用。,いいえ、かしこまりません。李さん、はじめまして。森と 申します。,不，不敢当。李小姐，初次见面。我叫森。,C 更客气：「かしこまりません」；对研修生/客户更礼貌时用。
1,第1单元,1,9,l1_dlg_9,出迎え,いいえ。李秀麗さんですね。はじめまして。,,李,「出迎え」（迎接）· 自己紹介 · 出迎え · 李应答。A＝课文「はじめまして、李秀麗です。よろし…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,はじめまして、李秀麗です。よろしく お願いします。,初次见面，我是李秀丽。请多关照。,A 标准答（李）：「出迎え」· 寒暄+姓名+よろしく。对森正式介绍用 A。,はじめまして。李です。よろしく。,初次见面。我是李。请多关照。,B 更短：同事间已熟、语气轻松时用。,はじめまして。李秀麗と 申します。どうぞ よろしく お願いいたします。,初次见面。我叫李秀丽。恳请多关照。,C 最郑重：商务、对多名同事同时在场时用。
1,第1单元,1,10,l1_dlg_10,出迎え,はじめまして、李秀麗です。よろしく お願いします。,,森,「出迎え」（迎接）· 自己紹介 · 出迎え · 森应答。A＝课文「こちらこそ。」；B＝同场景口语/缩短；C＝更礼貌或郑重。 森回应「よろしく」。,こちらこそ。,我才要（请您多关照）。,A 标准答（森）：「出迎え」· 回应「よろしくお願いします」的固定答法。必须用 A，不能说「どういたしまして」。,こちらこそ、よろしく お願いします。,我才要。请多关照。,B 回赠寒暄：也想再加一句「よろしく」时用；略重复但自然。,こちらこそ。こちらこそ お願いします。,我才要。我才要请您多关照。,C 强调双向：口语中偶见，课堂仍以 A 为准。
